id,host,dir
ioc-lm1k2-hrm-gige-nf-02,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/hrm/gigECam
ioc-lm1k2-inj-gige-ff-01,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/inj/gigECam
ioc-lm1k2-inj-gige-nf-01,ctl-las-lln-01,/reg/g/pcds/epics-dev/mods/lm1k2/inj/gigECam
ioc-lm1k2-mcs2-01,ctl-las-lln-02,/reg/g/pcds/epics-dev/mods/lm1k2/smaract
ioc-lm1k2-mcs2-02,ctl-las-lln-02,/reg/g/pcds/epics-dev/mods/lm1k2/smaract
ioc-lm1k2-mcs2-03,ctl-las-lln-02,/reg/g/pcds/epics-dev/mods/lm1k2/smaract
ioc-lm1k4-atm-ek9000-01,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/atm/ek9000/
ioc-lm1k4-atm-ell-01,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/atm/thorlabs-ell/
ioc-lm1k4-atm-gige-ff-01,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/atm/gigECam/
ioc-lm1k4-atm-gige-ff-02,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/atm/gigECam/
ioc-lm1k4-atm-gige-nf-01,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/atm/gigECam/
ioc-lm1k4-atm-gige-nf-02,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/atm/gigECam/
ioc-lm1k4-atm-spec-01,ctl-las-ip1-srv04,/reg/g/pcds/epics-dev/mods/lm1k4/atm/qmini/
ioc-lm1k4-com-ek9000-01,ctl-las-ip1-srv02,/reg/g/pcds/epics-dev/mods/lm1k4/com/ek9000/
ioc-lm1k4-com-ell-01,ctl-las-ip1-srv02,/reg/g/pcds/epics-dev/mods/lm1k4/com/thorlabs-ell/
ioc-lm1k4-com-ell-02,ctl-las-ip1-srv02,/reg/g/pcds/epics-dev/mods/lm1k4/com/thorlabs-ell/
ioc-lm1k4-com-ell-03,ctl-las-ip1-srv02,/reg/g/pcds/epics-dev/mods/lm1k4/com/thorlabs-ell/
ioc-lm1k4-com-gige-ff-01,ctl-las-ip1-srv02,/reg/g/pcds/epics-dev/mods/lm1k4/com/gigECam/
ioc-lm1k4-com-gige-ff-02,ctl-las-ip1-srv02,/reg/g/pcds/epics-dev/mods/lm1k4/com/gigECam/
ioc-lm1k4-com-gige-ff-03,ctl-las-ip1-srv02,/reg/g/pcds/epics-dev/mods/lm1k4/com/gigECam/
ioc-lm1k4-com-gige-nf-01,ctl-las-ip1-srv02,/reg/g/pcds/epics-dev/mods/lm1k4/com/gigECam/
ioc-lm1k4-com-gige-nf-02,ctl-las-ip1-srv02,/reg/g/pcds/epics-dev/mods/lm1k4/com/gigECam/
ioc-lm1k4-com-gige-nf-03,ctl-las-ip1-srv02,/reg/g/pcds/epics-dev/mods/lm1k4/com/gigECam/
ioc-lm1k4-com-spec-01,ctl-las-ip1-srv02,/reg/g/pcds/epics-dev/mods/lm1k4/com/qmini
